Job Title,Company Name,Location,Skills,Deadline,Original_Deadline
Project Manager,Grey Retention Marketing,"Bāgmatī, Nepal","Project Teams, Project Management, Microsoft Project, Project Planning, Project Implementation",Apply Before: 1 week from now,apply before: 1 week from now
React Native Developer,Techkraft Inc Pvt Ltd,"Kathmandu, Bāgmatī, Nepal","Javascript, Back-End Web Development, Cascading Style Sheets (Css), Front-End Development, Firebase",Apply Before: 1 week from now,apply before: 1 week from now
React Native Developer,Qpixel,"Kathmandu, Bāgmatī, Nepal","Rest Apis, Javascript, Computer Science, Front-End Development, Android",Apply Before: 1 week from now,apply before: 1 week from now
Information Technology Help Des…,MK computer store,"Banepa, Bāgmatī, Nepal","Analytical Skills, Help Desk Support, Communication, Computer Hardware Troubleshooting, Information Technology",Apply Before: 1 week from now,apply before: 1 week from now
React-Native,Yaks Inc.,"Kathmandu, Bāgmatī, Nepal","Javascript, Next.Js, React Native, Problem Solving, React.Js",Apply Before: 1 week from now,apply before: 1 week from now
Mid UI/UX Designer,SCSS Consulting,Nepal,"Software Design, Software Development, And User Interface Design, Design, User Experience (Ux)",Apply Before: 1 week from now,apply before: 1 week from now
Bubble Developer,Skillspot.ai,Nepal (Remote),,Apply Before: 1 week from now,apply before: 1 week from now
Back End Developer,Brand Builder,Pokhara,"Control Systems, And Version Control, Mongodb, Node.Js, Git",Apply Before: 1 week from now,apply before: 1 week from now
Flutter Developer,Zum Rides,"Dillibazar, Kathmandu","Attention To Detail, Communication, Problem-Solving Skills, Technical Skills, Flutter Framework","Apply Before: 1 week, 1 day from now","apply before: 1 week, 1 day from now"
Full Stack Developer,Zum Rides,"Dillibazar, Kathmandu","Communication, Problem-Solving Skills, Teamwork, Database Management, Frontend Skills","Apply Before: 1 week, 1 day from now","apply before: 1 week, 1 day from now"
Data Analysis Associate,World Health Organization,"Kathmandu, Bāgmatī, Nepal","Data Analytics, Data Quality, Data Analysis, Data Dissemination, Data Management","Apply Before: 1 week, 1 day from now","apply before: 1 week, 1 day from now"
Business Unit Head - IT Segment,Generation Next Communication Pvt. Ltd,"Kathmandu, Bāgmatī, Nepal","Analytical Skills, Business Development, Business Process, Business Administration, Business Analysis","Apply Before: 1 week, 1 day from now","apply before: 1 week, 1 day from now"
Wordpress Paid Intern,Nepal Tech Innovations Pvt. Ltd.,"Kathmandu, Bāgmatī, Nepal","Php, Html5, Creative Problem Solving, Front-End Development, React.Js","Apply Before: 1 week, 1 day from now","apply before: 1 week, 1 day from now"
Quality Assurance Engineer,zakipoint Health,"Kathmandu, Bāgmatī, Nepal","Object-Oriented Programming (Oop), Api Testing, Qa Engineering, Mobile Testing, Manual Testing","Apply Before: 1 week, 1 day from now","apply before: 1 week, 1 day from now"
Political Research Analyst,Juju Services,"Patan, Nepal","Analytical Skills, Quantitative Research, Attention To Detail, Communication, Political Science","Apply Before: 1 week, 1 day from now","apply before: 1 week, 1 day from now"
Full Stack Shopify Developer,EBPearls,"Kupondole, Lalitpur, Nepal",,"Apply Before: 1 week, 4 days from now","apply before: 1 week, 4 days from now"
Junior .NET Developer,PRABHU Technology,Kathmandu,"Visual Studio, Communication And Interpersonal Skills, Net And C# Applications, SQL","Apply Before: 1 week, 5 days from now","apply before: 1 week, 5 days from now"
Machine Learning Engineer,Golden Goat Software,Work From Home,,"Apply Before: 1 week, 5 days from now","apply before: 1 week, 5 days from now"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Advertising Agency,,,,,
,,,,,
,,,,,
"Accounting / Finance
(90)",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Advertising Agency,,,,,
,,,,,
,,,,,
"Accounting / Finance
(90)",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Advertising Agency,,,,,
,,,,,
,,,,,
"Accounting / Finance
(90)",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Advertising Agency,,,,,
,,,,,
,,,,,
"Accounting / Finance
(90)",,,,,
